Moto G5 Plus;32/64 GB;Lunar Grey, Fine Gold;2/4 GB RAM; 32 GB;5.2
Moto G5;16/32 GB;Lunar Grey, Fine Gold, Sapphire Blue;2/3 GB RAM;5.0
Moto M;32 GB;Gold, Gray, Silver;3 RAM or 64 GB;5.5
Moto E3 Power;16 GB;Black, White;2 GB RAM;5.0
Moto Z Play;32 GB;Black/Silver/Black Slate, White/Fine Gold/Sugar White;3 GB RAM;5.5
Moto E3;8 GB;Black, White;1 GB RAM;5.0
Moto Z Force;32/64 GB;Black/Gray, Black/Rose Gold, Black/Gold, White;4 GB RAM;5.5
Moto Z;32/64 GB;Black/Gray, Black/Rose Gold, Black/Gold, White;4 GB RAM;5.5
Moto G4 Plus;16 GB;Black, White;2 GB RAM or 32 GB;5.5
Moto G4;16/32 GB;Black, White;2 GB RAM;5.5
Moto G4 Play;8/16 GB;Black, White;1/2 GB RAM;5.0
Moto G Turbo Edition;16 GB;Black, White;2 GB RAM;5.0
Moto X Force;32/64 GB;Black Ballistic Nylon;3 GB RAM;5.4
Droid Turbo 2;32/64 GB;Black/Soft-Grip, Black/Pebble Leather, Gray/Ballistic Nylon, Winter White/Soft-Grip;3 GB RAM;5.4
Droid Maxx 2;16 GB;Deep Sea Blue, White;2 GB RAM;5.5
Moto X Style;16/32/64 GB;Black lens/Dark Gray Frame and accents/ Black Soft Feel Inlay;3 GB RAM;5.7
Moto X Play Dual SIM;16/32 GB;Black, White;2 GB RAM;5.5
Moto X Play;16/32 GB;Black, White;2 GB RAM;5.5
Moto G Dual SIM (3rd gen);8 GB;Black, White;1 GB RAM;5.0
Moto 360 Sport (1st gen);4 GB;Various;512 MB RAM;1.37
Moto 360 46mm (2nd gen);4 GB;Black Leather, Black Metal, Rose Gold/Blush Leather, Silver/Cognac Leather;512 MB RAM;1.56
Moto 360 42mm (2nd gen);4 GB;Gold, Black Leather, Black Metal, Rose Gold/Blush Leather, Silver/Cognac Leather;512 MB RAM;1.37
Moto 360 (1st gen);4 GB;Cognac Leather, Black, Stone Grey, Champagne Metal, Natural Metal, Champagne, Dark Metal, Light Metal;512 MB RAM;1.56
Moto G (3rd gen);8 GB;Black, White;1 GB RAM;5.0
Moto E Dual SIM (2nd gen);8 GB;Black, White;1 GB RAM;4.5
Moto E (2nd gen);8 GB;Black, White;1 GB RAM;4.5
