nubia Z17 mini;64 GB;Black, Gold;4 GB RAM - Standard edition;5.2
Blade A520;16 GB;Gray;2 GB RAM;5.0
nubia N1 lite;16 GB;Black;2 GB RAM;5.5
Blade V8 Mini;16 GB;Various;2 GB RAM;5.0
Blade V8 Lite;16 GB;Various;2 GB RAM;5.0
Blade A2 Plus;32 GB;Gold;4 GB RAM;5.5
Hawkeye;32 GB;Black;3 GB RAM;5.5
Blade V8 Pro;32 GB;Black;3 GB RAM;5.5
Blade V8;16 GB;Rose Gold, Silver, Dark Grey, Champagne Gold;2 GB RAM or 32 GB;5.2
Axon 7 Max;64 GB;Gold;4 GB RAM;6.0
Grand X4;16 GB;Black;2 GB RAM;5.5
Blade V7 Max;32 GB;Black, Silver, Gold;3/4 GB RAM;5.5
nubia Z11 mini S;64/128 GB;Black, White, Gold;4 GB RAM;5.2
Axon 7 mini;32 GB;Ion Gold, Platinum Gray;3 GB RAM;5.2
Warp 7;16 GB;Black;2 GB RAM;5.5
Zmax Pro;32 GB;Black;2 GB RAM;6.0
nubia N1;32/64 GB;Silver, Gold;3 GB RAM;5.5
nubia Z11 Max;64 GB;Silver, Gray, Gold;4 GB RAM;6.0
Axon 7;64 GB;Ion Gold, Quartz Grey, Chromium Silver;4 GB RAM;5.5
nubia Z11;64 GB;Silver, Gray, Gold, Rose Gold;4/6 GB RAM;5.5
Blade L110;4 GB;Black;512 MB RAM;4.0
Grand X Max 2;16 GB;Blue;2 GB RAM;6.0
nubia Z11 mini;64 GB;Black, White, Gold;3 GB RAM;5.0
Blade L5 Plus;8 GB;Gray, White;1 GB RAM;5.0
Blade V Plus;16 GB;Silver;2 GB RAM;5.5
Blade A610;8 GB;Shining Silver, Honor Gold, Space Grey;1 GB RAM or 16 GB;5.0
Blade A512;16 GB;White, Black, Pink;2 GB RAM;5.2
Blade A452;8 GB;Ion Gold, Black, White;1 GB RAM;5.0
Blade V7;16 GB;Gold, Gray;2 GB RAM;5.2
Blade A2;16 GB;Silver;2 GB RAM;5.0
Blade V7 Lite;16 GB;Silver;2 GB RAM;5.0
Axon Max;32 GB;Gold;3 GB RAM;6.0
nubia Prague S;64 GB;White, Rose Gold;3 GB RAM;5.2
Grand X 3;16 GB;Black;2 GB RAM;5.5
Avid Plus;8 GB;Black;1 GB RAM;5.0
Blade X9;16 GB;White/Silver;2 GB RAM;5.5
Blade X5;8 GB;Various;1 GB RAM;5.0
Blade X3;8 GB;Various;1 GB RAM;5.0
Axon;32 GB;Ion Gold, Chromium Silver, Phthalo Blue;2 GB RAM;5.5
Blade S7;32 GB;Various;3 GB RAM;5.0
Axon mini;32 GB;Gold, Chromium Silver, Rose Gold;3 GB RAM;5.2
Zmax 2;16 GB;Black;2 GB RAM;5.5
Axon Elite;32 GB;Ion Gold;3 GB RAM;5.5
nubia My Prague;16 GB;White/Silver, White/Gold;2 GB RAM - White/Silver;5.2
Axon Lux;128 GB;Ion Gold, Chromium Silver, Phthalo Blue;4 GB RAM;5.5
Boost Max+;16 GB;Gold;2 GB RAM;5.7
Blade A460;8 GB;Black;1 GB RAM;5.0
Blade D6;16 GB;Pink, Gold, Gray, Silver;2 GB RAM;5.0
Axon Pro;32/64 GB;Ion Gold, Chromium Silver, Phthalo Blue;4 GB RAM;5.5
Blade A410;8 GB;Black;1 GB RAM;4.0
Obsidian;4 GB;Black;1 GB RAM;4.5
Grand X2;16 GB;Black;2 GB RAM;5.0
Sonata 2;4 GB;Black;1 GB RAM;4.0
Blade Apex 3;8 GB;Black;1 GB RAM;4.5
Maven;8 GB;Black;1 GB RAM;4.5
Blade Q Pro;8 GB;Silver, Black;1 GB RAM;4.5
Blade Qlux 4G;8 GB;Black;1 GB RAM;4.5
nubia Z9;64 GB;Black, White, Gold;4 GB RAM - Exclusive & Elite editions;5.2
Blade S6 Plus;16 GB;Silver;2 GB RAM;5.5
nubia Z9 Max;16 GB;Black, White;3 GB RAM;5.5
nubia Z9 mini;16 GB;Black, White;2 GB RAM;5.0
Open L;8 GB;Black;1 GB RAM;5.0
Grand S3;16 GB;Silver;3 GB RAM;5.5
Blade L3 Plus;8 GB;Black, White, Yellow, Blue;1 GB RAM;5.0
Blade L3;8 GB;Black, White;1 GB RAM;5.0
Blade G Lux;4 GB;Black, White;512 MB RAM;4.5
Blade G;4 GB;Black, White;512 MB RAM;4.0
V5 Lux;8 GB;Black;1 GB RAM;5.0
Blade S6;16 GB;White, Aurora purple, Tahiti brown, Venice gold, Baroque red;2 GB RAM;5.0
Imperial II;8 GB;White;1 GB RAM;5.0
Grand X Max+;16 GB;Black;2 GB RAM;6.0
Star 2;16 GB;Black, White;2 GB RAM;5.0
Grand X Plus Z826;8 GB;Black/Silver;2 GB RAM;5.0
Speed;8 GB;Black;1 GB RAM;4.5
Grand S II;16 GB;Silver;2 GB RAM;5.5
Grand S Pro;8 GB;Black/White;2 GB RAM;5.0
Zinger;4 GB;Black;512 MB RAM;3.5
Grand Xmax;8 GB;Black;1 GB RAM;6.0
Zmax;16 GB;Black;2 GB RAM;5.7
Blade Vec 4G;16 GB;Black;1 GB RAM;5.0
Blade Vec 3G;8 GB;Black;1 GB RAM;5.0
Kis 3 Max;4 GB;Black, White;512 MB RAM;4.5
nubia Z5S mini NX405H;16 GB;Black, White;2 GB RAM;4.7
nubia Z7;32 GB;Black, White;3 GB RAM;5.5
nubia Z7 Max;32 GB;Black, White;2 GB RAM;5.5
nubia Z7 mini;16 GB;Black, White, Red, Green, Yellow;2 GB RAM;5.0
Blade L2;4 GB;White;1 GB RAM;5.0
Kis 3;512 MB;Black, Blue;256 MB RAM;4.0
Blade G2;4 GB;Black;512 MB RAM;4.5
Redbull V5 V9180;4 GB;Black/White, Black/Blue, Black/Yellow, Black/Red;1 GB RAM;5.0
Star 1;16 GB;Pink, Black, White;2 GB RAM;5.0
nubia X6;32/64 GB;White, Gold;2 GB RAM/ 128 GB;6.44
Grand Memo II LTE;16 GB;White;2 GB RAM;6.0
Open C;4 GB;Orange, Black;512 MB RAM;4.0
Open II;2 GB;Black;256 MB RAM;3.5
Iconic Phablet;8 GB;Black;1 GB RAM;5.7
Sonata 4G;4 GB;Black;1 GB RAM;4.0
Grand S II S291;16 GB;Silver;2 GB RAM;5.5
